Preferencia (ES),Preferencia (EN),Zona,Acción recomendada (ES),Acción recomendada (EN)
VISUAL,VISUAL,PREDOMINANT,"Utiliza mapas mentales, esquemas y diagramas en reuniones. Comparte tus ideas visualmente para generar alineación rápida.","Use mind maps, diagrams, and visual models to share ideas clearly."
VISUAL,VISUAL,SUPPORTING,"Observa más en reuniones: lenguaje corporal, entorno. Usa colores o formas para resaltar lo que es importante.","Pay more attention to body language and use visual highlights (colors, icons)."
VISUAL,VISUAL,DEVELOPMENTAL,Practica visualizar ideas antes de actuar. Crea un “tablero visual” con tus objetivos o proyectos para integrarlo en tu pensamiento diario.,Practice visualizing your ideas and goals using drawings or mood boards.
AUDITIVO,HEARING,PREDOMINANT,"Refuerza tu impacto reforzando lo que dices con tono, pausas y ritmo. Usa técnicas de narración para captar atención.","Enhance impact with tone, pauses, and voice rhythm. Use storytelling techniques."
AUDITIVO,HEARING,SUPPORTING,Participa más en debates y foros donde puedas escuchar diferentes voces. Repite lo que otros dijeron para mejorar tu escucha activa.,Join discussions and reflect back what you hear. Summarize conversations aloud.
AUDITIVO,HEARING,DEVELOPMENTAL,"Haz ejercicios de escucha activa: no interrumpas, resume lo que escuchaste. Graba tus reuniones y analízalas para identificar mejoras.",Practice active listening. Record and review meetings. Focus on verbal flow.
KINESTÉSICO,FEELING,PREDOMINANT,Usa tu empatía para detectar bloqueos en el equipo. Presta atención a tu lenguaje corporal y al de otros para generar conexión.,Use body awareness to connect with others. Trust physical sensations to guide decisions.
KINESTÉSICO,FEELING,SUPPORTING,Registra tus emociones al finalizar reuniones. Evalúa qué sentiste y por qué. Mejora tu autoconciencia emocional.,Reflect on how you feel after meetings. Build emotional awareness routines.
KINESTÉSICO,FEELING,DEVELOPMENTAL,Practica conectar con tu cuerpo antes de tomar decisiones: ¿cómo me hace sentir esto? ¿qué sensaciones físicas noto?,Notice your physical sensations before making decisions. Try grounding exercises.
PERSONAS,PEOPLE,PREDOMINANT,Potencia tu influencia conectando individualmente con las personas clave. Crea redes de apoyo y colaboración.,Strengthen your influence by nurturing relationships. Connect individually with key people.
PERSONAS,PEOPLE,SUPPORTING,Pregunta más por la experiencia humana: ¿cómo se siente el equipo? ¿quién necesita más apoyo?,Ask about the human experience in meetings. Who needs support? What’s the emotional climate?
PERSONAS,PEOPLE,DEVELOPMENTAL,Agenda espacios para escuchar a otros más allá de lo técnico. Haz una pausa para reconocer la dimensión relacional de tu entorno.,Create space for informal conversations. Acknowledge the relational side of work.
LUGARES,PLACE,PREDOMINANT,Usa el entorno para motivarte y organizarte. Adapta tu espacio de trabajo para potenciar tu energía y concentración.,Optimize your environment for energy and focus. Design your workspace intentionally.
LUGARES,PLACE,SUPPORTING,Observa en qué lugares trabajas mejor. Ajusta tu ubicación según el tipo de tarea que hagas.,Observe which locations boost your productivity. Match task type with location.
LUGARES,PLACE,DEVELOPMENTAL,Cambia de lugar durante el día. Haz caminatas conscientes observando el entorno. Haz consciente cómo el lugar impacta en ti.,Change physical space during the day. Walk mindfully and reflect on how places affect you.
ACTIVIDADES,ACTIVITY,PREDOMINANT,Estructura tu jornada con acciones claras. Mide tu progreso con listas de tareas o rituales de cierre.,Structure your day with clear actions. Use checklists or rituals to track execution.
ACTIVIDADES,ACTIVITY,SUPPORTING,Evalúa al final del día: ¿qué hice hoy? ¿qué me dio energía? Usa esta reflexión para organizarte mejor.,Reflect daily on what you did and what energized you. Adjust accordingly.
ACTIVIDADES,ACTIVITY,DEVELOPMENTAL,Crea un plan con microacciones. Empieza por tareas de 10 minutos. Reforzar el hacer ayuda a salir de la parálisis.,Start with micro-actions. Break down goals into 10-minute tasks to build momentum.
CONOCIMIENTO,KNOWLEDGE,PREDOMINANT,"Comparte tu conocimiento con otros: enseña, escribe o presenta. Eso consolida tu comprensión.","Share your knowledge: teach, write or present to consolidate understanding."
CONOCIMIENTO,KNOWLEDGE,SUPPORTING,Lee un artículo o ve un video breve antes de iniciar una tarea compleja. Así desarrollas contexto.,Read or research briefly before starting complex tasks to build context.
CONOCIMIENTO,KNOWLEDGE,DEVELOPMENTAL,Haz preguntas: ¿qué necesito entender mejor antes de actuar? Busca un mentor o fuente de referencia confiable.,Ask more questions. Seek mentors or references to understand before acting.
OBJETOS,THINGS,PREDOMINANT,"Apóyate en herramientas físicas o digitales para estructurar tareas. Usa checklists, tableros o dispositivos tangibles para organizar ideas.","Use physical or digital tools to structure tasks. Apply checklists, boards, or tangible devices to organize ideas."
OBJETOS,THINGS,SUPPORTING,"Intenta vincular cada objetivo abstracto con algo concreto (una herramienta, plantilla o modelo visual).","Link each abstract goal to something concrete (a tool, template, or visual model)."
OBJETOS,THINGS,DEVELOPMENTAL,"Trabaja con objetos al aprender (maquetas, esquemas, apps). Usa el entorno como punto de partida para comprender.","Use objects while learning (models, diagrams, apps). Leverage your environment to understand better."
GLOBAL,BIG CHUNKING,PREDOMINANT,"Mantén una visión panorámica sin perder foco. Antes de reuniones, define el propósito general.","Maintain a broad view without losing focus. Before meetings, clarify the general purpose."
GLOBAL,BIG CHUNKING,SUPPORTING,Revisa si puedes conectar tareas sueltas con un objetivo mayor. Haz preguntas como “¿para qué sirve esto?”,Check if you can connect tasks to a greater goal. Ask: “What is this for?”
GLOBAL,BIG CHUNKING,DEVELOPMENTAL,Empieza cualquier proyecto con una hoja en blanco: ¿cuál es la idea general? ¿qué impacto tiene?,Begin each project by defining the big picture: What is the main idea? What’s the impact?
DETALLADO,SMALL CHUNKING,PREDOMINANT,Usa tu precisión para liderar procesos críticos. Cuida no caer en microgestión: delega lo no esencial.,Use your attention to detail to lead key processes. Avoid micromanaging: delegate the nonessential.
DETALLADO,SMALL CHUNKING,SUPPORTING,Revisa si puedes aplicar más orden a tareas repetitivas. Usa listas o diagramas de flujo.,Add structure to repetitive tasks. Try lists or flow diagrams.
DETALLADO,SMALL CHUNKING,DEVELOPMENTAL,Divide tu meta en pasos concretos. Usa apps de tareas o plantillas paso a paso. Evalúa lo que falta antes de actuar.,Break goals into concrete steps. Use task apps or step-by-step templates. Evaluate before acting.
ORIENTADO A,TOWARD,PREDOMINANT,Refuerza tu motivación revisando tus metas semanalmente. Visualiza qué vas a lograr y qué impacto tendrá.,Boost your motivation by reviewing goals weekly. Visualize the outcomes and their impact.
ORIENTADO A,TOWARD,SUPPORTING,Establece microobjetivos claros para cada semana o reunión. Mide progreso con métricas visibles.,Set clear micro-goals weekly or per meeting. Measure progress with visible metrics.
ORIENTADO A,TOWARD,DEVELOPMENTAL,Empieza el día preguntando: ¿qué quiero lograr hoy? Define al menos una meta y escríbela.,Start your day by asking: What do I want to achieve today? Define and write at least one goal.
ALEJADO DE,AWAY FROM,PREDOMINANT,"Usa tu capacidad de prevención como fortaleza. Prevé errores, pero no te detengas en ellos. Asegúrate de también visualizar lo que deseas.","Use your prevention skill as a strength. Anticipate risks, but also visualize what you want."
ALEJADO DE,AWAY FROM,SUPPORTING,"Antes de tomar decisiones, haz un “análisis de riesgos”. Evalúa qué podría salir mal y cómo evitarlo.","Before making decisions, do a risk analysis. Evaluate what might go wrong and how to avoid it."
ALEJADO DE,AWAY FROM,DEVELOPMENTAL,Reflexiona sobre experiencias pasadas negativas. ¿Qué aprendiste? Úsalo para crear alertas preventivas o checklist.,Reflect on past negative experiences. What did you learn? Turn it into preventive checklists or alerts.
YO,SELF,PREDOMINANT,"Refuerza tu autenticidad, pero valida cómo tu enfoque impacta a otros. Equilibra entre convicción personal y apertura externa.",Own your authenticity but check how your perspective affects others. Balance conviction with openness.
YO,SELF,SUPPORTING,Toma decisiones que te representen más. ¿Esto resuena contigo o lo haces por otros?,"Make choices that reflect you. Does this resonate with you, or are you doing it for someone else?"
YO,SELF,DEVELOPMENTAL,Practica dar tu opinión antes de conocer la de los demás. Toma una decisión por ti mismo y luego contrástala.,"Give your opinion before hearing others. Decide for yourself first, then compare with others."
OTROS,OTHER,PREDOMINANT,"Sigue integrando la perspectiva de otros, pero asegúrate de mantener tus propios criterios cuando sea necesario.","Continue integrating others' views, but maintain your criteria when needed."
OTROS,OTHER,SUPPORTING,Consulta más seguido con tu entorno. Pide feedback antes de concluir una tarea importante.,Ask for feedback more frequently before finalizing key tasks.
OTROS,OTHER,DEVELOPMENTAL,Pregunta: ¿cómo esto impacta a los demás? Haz un mapeo de stakeholders antes de tomar decisiones relevantes.,Ask: How does this affect others? Map stakeholders before making major decisions.
DIFERENCIAS,DIFFERENCES,PREDOMINANT,Usa tu capacidad de análisis crítico para liderar mejoras. Asegúrate de equilibrar con reconocimiento de lo que funciona.,Use your critical thinking skills to drive improvements. Make sure to balance it with acknowledgment of what’s working.
DIFERENCIAS,DIFFERENCES,SUPPORTING,"Antes de cerrar una tarea, haz una revisión rápida para ver qué se podría mejorar.","Before closing a task, do a quick review to see what could be improved."
DIFERENCIAS,DIFFERENCES,DEVELOPMENTAL,"Observa un proceso o conversación y busca activamente una diferencia, error u oportunidad de mejora. Anótala.","Observe a process or conversation and actively look for a difference, error, or improvement opportunity. Write it down."
SIMILITUDES,SIMILARITIES,PREDOMINANT,"Conecta ideas, personas y procesos a través de patrones comunes. Usa analogías para explicar ideas.","Connect ideas, people, and processes through common patterns. Use analogies to explain concepts."
SIMILITUDES,SIMILARITIES,SUPPORTING,"Cuando te enfrentes a algo nuevo, busca similitudes con experiencias anteriores.","When facing something new, look for similarities with past experiences."
SIMILITUDES,SIMILARITIES,DEVELOPMENTAL,Toma una situación que consideres “opuesta” y encuentra al menos una similitud o conexión útil.,Take a situation you see as “opposite” and identify at least one useful similarity or connection.
ASOCIADO,ASSOCIATED,PREDOMINANT,Usa tu involucramiento total para conectar con otros. Recuerda tomar pausas para reflexionar antes de actuar.,Use your full engagement to connect with others. Remember to pause and reflect before acting.
ASOCIADO,ASSOCIATED,SUPPORTING,"En presentaciones o decisiones, haz un esfuerzo consciente por “estar ahí”, vivir el momento.","In presentations or decisions, make a conscious effort to “be there” and live the moment."
ASOCIADO,ASSOCIATED,DEVELOPMENTAL,Practica estar presente en cuerpo y emoción. Usa ejercicios de mindfulness o imagina que “te metes” en la escena.,Practice being present in body and emotion. Try mindfulness exercises or imagine yourself “stepping into” the scene.
DESASOCIADO,DISASSOCIATED,PREDOMINANT,Usa tu capacidad de análisis para ver las cosas con objetividad. Pero recuerda que las emociones también informan.,Use your analytical ability to see things objectively. But remember that emotions also offer valuable insight.
DESASOCIADO,DISASSOCIATED,SUPPORTING,"Después de una experiencia intensa, toma distancia y revisa lo ocurrido con frialdad. ¿Qué observas diferente?","After an intense experience, step back and review it with detachment. What do you see differently?"
DESASOCIADO,DISASSOCIATED,DEVELOPMENTAL,Haz un ejercicio de “ver desde afuera”: imagina que otra persona te observa actuar. ¿Qué nota que tú no estás viendo?,Do a “view from outside” exercise: imagine someone watching you act. What do they notice that you don’t?
PASADO,PAST,PREDOMINANT,Usa tu memoria histórica para repetir lo que funciona. Revisa patrones para no repetir errores.,Use your historical memory to repeat what works. Review patterns to avoid repeating mistakes.
PASADO,PAST,SUPPORTING,Cierra cada proyecto con una lección aprendida. Recurre a tus experiencias cuando tomes nuevas decisiones.,End each project with a lesson learned. Refer to past experiences when making new decisions.
PASADO,PAST,DEVELOPMENTAL,Piensa en una experiencia pasada similar antes de iniciar un nuevo proyecto. ¿Qué aprendiste de aquella vez?,Think of a similar past experience before starting a new project. What did you learn from that time?
PRESENTE,PRESENT,PREDOMINANT,Usa tu enfoque en el ahora para ejecutar rápido. Asegúrate de conectar con un plan de mediano plazo.,Use your focus on the present to act quickly. Be sure to connect it to a mid-term plan.
PRESENTE,PRESENT,SUPPORTING,Haz ejercicios de atención plena. Pregúntate varias veces al día: ¿en qué estoy ahora mismo? ¿estoy presente?,Practice mindfulness. Ask yourself several times a day: What am I doing right now? Am I present?
PRESENTE,PRESENT,DEVELOPMENTAL,Elige una tarea diaria y comprométete a hacerla sin distracciones. Solo una cosa a la vez.,Choose one daily task and commit to doing it without distractions. One thing at a time.
FUTURO,FUTURE,PREDOMINANT,"Refuerza tu visión anticipando escenarios. Asegúrate de accionar, no solo planear.","Strengthen your vision by anticipating scenarios. Make sure you take action, not just plan."
FUTURO,FUTURE,SUPPORTING,"Al terminar cada jornada, anota tres cosas que vas a necesitar mañana. Proyéctate.","At the end of each day, write down three things you’ll need tomorrow. Project yourself forward."
FUTURO,FUTURE,DEVELOPMENTAL,Imagina tu semana o mes ideal. ¿Cómo se vería? ¿Qué pasos podrías dar desde hoy para construirla?,Imagine your ideal week or month. What would it look like? What steps can you take today to build it?